Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2015-01-01,988.8797607421875,997.2125069761656,987.1121855186742,997.2125069761656,366830
2015-01-02,1002.0487670898438,1006.5162159799833,990.8413543881858,990.9967059779032,925740
2015-01-05,986.82080078125,1009.9932304229714,980.7605701498529,1002.6511118261614,1754242
2015-01-06,950.4405517578125,982.4896576150119,947.8765853523214,982.4896576150119,2423784
2015-01-07,939.2132568359375,963.0849571867487,935.2313996671428,959.5304592119944,2636332
2015-01-08,949.3526000976562,951.3726455460421,940.3205813108268,948.8086796954547,1565408
2015-01-09,975.9631958007812,978.9155411339699,951.7612479557365,953.7036178495238,3197642
2015-01-12,974.9530029296875,982.0620948155162,963.5124646622563,977.788881586493,1596006
2015-01-13,970.36865234375,982.9940506519773,963.4538946825703,978.9539611302386,1468432
2015-01-14,979.7113647460938,983.5378691591582,971.3786216928187,977.399964878677,1787096
2015-01-15,986.3739624023438,1002.9423336964529,980.2166141181659,984.0042340478805,5009920
2015-01-16,983.6742553710938,988.666183468146,965.0858341314856,988.161148374541,5293830
2015-01-19,975.4579467773438,990.9969025205113,972.3501556287101,985.1697941168234,1135074
2015-01-20,971.359619140625,982.8390427386946,964.6778865141752,978.9543034393322,2058566
2015-01-21,976.5455932617188,979.7310598964214,966.6200673224704,979.7310598964214,2310480
2015-01-22,976.4488525390625,979.4400834039062,969.4368777925425,977.5948318833634,2113214
2015-01-23,972.5828857421875,983.6349445897126,969.6693327151306,976.6229746694848,3150380
2015-01-27,973.9260864257812,978.9668709896777,969.0604459139041,977.9353932139762,2738736
2015-01-28,988.5423583984375,990.6053136761867,974.256763724936,974.295726856679,3121980
2015-01-29,990.508056640625,999.8695672770851,978.1493306841097,987.9195740987668,3734392
2015-01-30,966.1410522460938,1002.3219357354569,961.450555831681,996.7556240373917,5817402
2015-02-02,978.6554565429688,981.4775280558687,958.3560422250639,966.1215855196698,3181802
2015-02-03,995.8021240234375,998.4295702609663,975.8919583252072,977.6629756893054,2345054
2015-02-04,978.6943359375,1001.0373173701961,973.9454901837113,999.5971069001502,2245418
2015-02-05,993.525146484375,1008.8227441425446,980.5241889000376,980.9134402652222,4530168
2015-02-06,1002.6141967773438,1010.0294542380367,992.9218758656818,993.7587282820765,2136416
2015-02-09,978.149658203125,1000.0256596246694,973.1283539097768,997.0673114159573,2076432
2015-02-10,950.2205810546875,983.3458980067907,947.0482216132693,977.0205656593942,3799054
2015-02-11,957.5194091796875,968.1654721856934,952.5954173510657,955.6315970502327,2937522
2015-02-12,958.3946533203125,965.2649929388884,952.4975365806885,965.2649929388884,3107980
2015-02-13,988.2119750976562,991.7152376386229,957.6557407125589,961.450941798606,4158326
2015-02-16,1006.1365966796875,1010.1069402128447,994.5368910380803,996.4831471849259,2364392
2015-02-18,1025.93017578125,1028.7912109186482,998.5269216076665,1006.2341165415049,2660014
2015-02-19,1043.602294921875,1046.0351157288244,1025.6772522098593,1026.0665035389713,2618002
2015-02-20,1041.461181640625,1050.5112730353833,1028.499096249466,1050.5112730353833,1801588
2015-02-23,1049.674072265625,1059.5416268992615,1039.6898183129783,1039.6898183129783,1614892
